depth_cm,Year,IIIa5,IIIa6,IIIb5,IIIb6,IIIc5,IIIc6,IIa5,IIa6,IIb5,IIb6,IIc5,IIc6,Ia,Ib,Ic,MBT5Me
54.25,1290,0.208659582,0.05206927,0.002395621,0.003723378,0.000533429,0.000175241,0.257330327,0.091135616,0.016773426,0.017257368,0.003205531,9.53E-05,0.315754731,0.026799349,0.004091835,0.417943151
54.75,1283,0.213782058,0.04896044,0.002241296,0.00363226,0.000473257,0.000242676,0.247463734,0.093411502,0.017264088,0.016594994,0.003096555,0.00021066,0.32125938,0.027002971,0.004364128,0.424270308
55.25,1276,0.193522247,0.046934517,0.002573614,0.002892468,0.000806966,0.00014844,0.250028408,0.083371884,0.016274179,0.014905125,0.00313528,0,0.352154132,0.028641226,0.004611514,0.455977774
55.75,1268,0.195713521,0.047278037,0.002097682,0.003011092,0.000451611,0.000169633,0.242838755,0.091909025,0.015708521,0.01403411,0.003277965,0.000172931,0.350894183,0.028010205,0.00443273,0.457662454
56.25,1261,0.21440005,0.053179215,0.002427822,0.003298173,0.000481583,0.000143009,0.246956883,0.101958172,0.017539375,0.016226158,0.003278685,0.000133745,0.307623077,0.028234741,0.004119311,0.415176648
56.75,1254,0.220422397,0.054784961,0.002429134,0.00330306,0.000477119,0.000116425,0.249989307,0.107272464,0.017548928,0.017057615,0.003067404,8.26E-05,0.292195929,0.02725877,0.0039939,0.398625732
57.25,1246,0.216340637,0.057134211,0.002934001,0.003351671,0.001383797,0.000173251,0.244767787,0.108012475,0.018657526,0.017186614,0.003461497,0,0.293432312,0.028900208,0.004264013,0.405024465
57.75,1242,0.22012615,0.052886215,0.002725685,0.003261001,0.000518506,0.00013821,0.250478362,0.104418976,0.019056215,0.016345383,0.003309957,0.000131228,0.293653313,0.028776898,0.004173901,0.400120276
58.25,1235,0.216217776,0.053322649,0.00242601,0.003193534,0.000509797,0.000136131,0.251596441,0.101952204,0.019243471,0.017140571,0.003638142,0.000193947,0.295105025,0.030562295,0.004762007,0.404201316
58.75,1227,0.177857782,0.045841752,0.001865045,0.003198164,0.000524613,0,0.239560869,0.097678239,0.02109508,0.020709917,0.004543415,0,0.342150538,0.038503442,0.006471144,0.468879489
59.25,1221,0.217625003,0.055102017,0.003097515,0.003374526,0.00151464,0.00015959,0.242489585,0.100528438,0.01877235,0.016850789,0.003709032,0,0.302370816,0.02962075,0.004784948,0.412886605
59.75,1213,0.222771542,0.053885685,0.002351836,0.003162746,0.000568925,0.000162573,0.24111078,0.104919225,0.019593843,0.017759692,0.00329493,0,0.297331197,0.028455915,0.004631112,0.405971866
60.25,1206,0.217786871,0.056684188,0.002157793,0.002946219,0.000553809,0.00027396,0.244069839,0.106523667,0.018346281,0.019001431,0.003323127,0,0.295041138,0.028868614,0.004423063,0.406083209
60.75,1198,0.22326182,0.056997532,0.002610972,0.003734173,0.000484906,0.000104445,0.242151772,0.109575027,0.024588263,0.018131692,0.003244237,0,0.284842397,0.026329388,0.003943376,0.391390512
61.25,1191,0.209305939,0.056777057,0.002972459,0.003446678,0.000826144,0.000159998,0.247552144,0.106441377,0.019109722,0.017946136,0.003387303,0,0.297752753,0.029948072,0.004374218,0.410962171
61.75,1184,0.202311718,0.056126208,0.002787294,0.003536443,0.000491471,0.000142309,0.242598138,0.106860312,0.019396444,0.019048627,0.003513692,0.000150926,0.309155005,0.029275612,0.004605801,0.424895661
62.25,1175,0.216799116,0.057394682,0.002496012,0.003193683,0.000605466,0.000234396,0.236162051,0.11254424,0.019984581,0.018118272,0.003374112,0,0.29543512,0.028869688,0.004788581,0.410320861
62.75,1165,0.21698961,0.056768765,0.002653192,0.002995311,0.000502883,0.000198655,0.248212635,0.102511381,0.020964333,0.01739271,0.003252524,0,0.29250788,0.030322934,0.004727186,0.402541608
63.25,1154,0.216870539,0.058835448,0.003137666,0.003497786,0.000925145,0.000172086,0.249834828,0.105885435,0.021047412,0.01805524,0.003658229,0.000265117,0.283728157,0.029693975,0.004392937,0.394523031
63.75,1145,0.208613595,0.053777671,0.002759227,0.003091844,0.000524205,0.000460826,0.249738625,0.105381417,0.021293116,0.01748073,0.003523753,0,0.29763013,0.031199847,0.004525013,0.410030574
64.25,1136,0.2059542,0.055401819,0.002315504,0.002701054,0.000564491,0.000147072,0.251124287,0.100509514,0.019260651,0.017953535,0.003518464,9.32E-05,0.306078302,0.0298714,0.004506501,0.416819472
64.75,1126,0.217027165,0.05391472,0.002261013,0.002861296,0.000731413,0,0.251347501,0.101296917,0.02149643,0.018368695,0.003481358,0,0.291690129,0.030872911,0.004650451,0.400464647
65.25,1117,0.203496432,0.054869724,0.003372199,0.00443639,0,0,0.249714611,0.095709923,0.023466422,0.022343991,0.004331344,0,0.297116451,0.035028105,0.006114408,0.41507405
