label,No,Latitude,Longitude,MBT5Me,IR6Me,Seasonality,MAT,MAP,MAT_0,SoP,CV_rainfall,Altitude,SoilPh
Peru,310,-4.4,-74.8,0.962729949,NaN,1.412173913,26.41601449,2448.181739,26.41608696,59.71,0.67,100,4.15
Peru,311,-4.9,-74,0.955,NaN,1.312173913,26.75833333,2378.84,26.7584058,71.55,0.81,100,NaN
Peru,312,-6.3,-74.8,0.955,0.31,1.395652174,27.00427536,2002.803478,27.00427536,50.86,0.81,100,6.1
Peru,314,-4.4,-74.1,0.97,0.05,1.326086957,26.54405797,2523.411304,26.54413043,61.62,0.67,100,3.75
Peru,316,-4.7,-75.4,0.941227558,0.4,1.324347826,26.65028986,2287.350435,26.65028986,63.27,0.74,100,5.7
Peru,319,-4.1,-73.2,0.974272681,NaN,1.443478261,26.58413043,2634.205217,26.5842029,64.46,0.66,100,4
France,320,46.8,6.2,0.622478333,NaN,17.0173913,6.854347826,1265.807826,9.258743961,26.81,0.5,840,3.5
France,321,47.3,2.3,0.521148178,0.01,14.16086957,11.45347826,698.7286957,11.26152174,8.98,0.26,154,4
Switzerland,322,47,7.4,0.590905224,NaN,17.44086957,9.077318841,1390.723478,9.31944664,27.59,0.59,585,4.32
Switzerland,324,46.7,7.4,0.538465312,NaN,17.10434783,6.637971014,1390.723478,9.062995169,33.17,0.55,1406,4.82
Switzerland,325,46.6,8,0.69,NaN,16.90608696,5.839275362,1573.426957,8.211594203,39.45,0.57,1885,4.55
Tanzania,326,-9.4,33.8,0.840269131,0.32,5.960869565,19.16173913,892.5078261,19.16492754,120.31,2.6,663,5.4
Poland,327,54.3,22.9,0.649644455,NaN,21.94,6.749057971,620.9182609,10.147343,36.39,1.15,148.5,NaN
Latvia,328,56.6,26.5,0.632723911,NaN,23.48695652,5.432318841,623.0730435,10.34315217,25.87,0.89,100,NaN
Romania,329,47.6,24.8,0.581445124,NaN,22.19652174,3.739927536,940.7086957,9.729689441,45.84,0.93,1540,NaN
China,330,32.8,102.5,0.363308784,0.09,19.13826087,3.976086957,590.6652174,7.9725,55.79,2.09,3500,5.5
Argentina,331,-54.7,-68.3,0.415150209,0.04,7.876521739,4.38115942,528.5695652,4.383623188,11.18,0.43,180,5.4
Queensland,332,-17.4,145.5,0.86640625,0.08,7.473913043,21.23427536,1610.062609,21.29101449,211.04,2.28,754,6.5
Chile,333,-52.5,-72.1,0.476584216,0.07,8.160869565,6.103768116,482.4965217,6.102173913,14.07,0.59,20,4.25
Indonesia,334,-2.3,113.9,0.993052985,NaN,0.764347826,26.73608696,2385.98087,26.75471014,75.07,0.95,30,3
USA,335,30.6,-82.3,0.906353633,0.01,15.92521739,19.7734058,1274.467826,19.77355072,60.77,1.07,0,4
USA,336,36.7,-76.6,0.817021061,NaN,21.12521739,15.31326087,1173.366957,15.31224638,45.35,0.73,4,4
USA,337,35,-77,0.84326798,NaN,19.71304348,16.29768116,1240.012174,16.29768116,59.67,0.86,NaN,3.7
USA,338,25.2,-81,0.852395907,0.58,8.497391304,24.70014493,1200.749565,24.70065217,88.99,1.43,0,6.51
USA,339,26,-81,0.7611429,0.31,9.513043478,23.99391304,1333.72,23.99456522,127.31,1.81,NaN,7.14
USA,340,26,-80.5,0.85,0.23,9.22,24.05601449,1482.513913,24.05695652,114.25,1.62,NaN,6.65
USA,342,32,-81.3,0.797253228,NaN,17.04434783,19.14789855,1229.165217,19.14789855,63.79,1.14,NaN,NaN
USA,343,44,-75,0.477122376,0.39,28.92,6.094927536,1075.906957,12.29043478,11.89,0.38,NaN,7.85
USA,344,45,-68,0.600373371,0.01,28.66782609,4.840942029,1093.23913,10.7725,10.8,0.29,NaN,4.28
Spain,345,43.5,-7.5,0.585,NaN,9.166086957,12.90876812,1214.503478,12.88688406,48.99,1.17,695,4.1
Spain,347,43.1,-3.4,0.566594682,NaN,12.45217391,11.81050725,1042.089565,11.85376812,28.36,0.74,1330,4.65
Iran,348,38,48.6,0.30747687,0.24,25.8373913,13.11268116,390.7495652,13.10898551,18.58,1.42,2500,NaN
Brazil,349,-18.3,-43.7,0.855,NaN,5.642608696,20.06173913,1349.577391,20.06181159,164.32,2.41,1360,3.8
Brazil,351,-17.9,-43.8,0.889237922,NaN,5.36173913,21.47355072,1238.913913,21.47369565,155.51,2.46,1260,3.3
Russia,353,67.5,86.6,0.382158419,0.28,40.35565217,-7.942753623,487.5034783,9.480217391,22.53,1,128,NaN
USA,355,39.9,-74.5,0.688065301,NaN,23.91565217,12.11521739,1175.782609,12.11521739,37.43,0.56,NaN,NaN
Sweden,356,68.4,19.1,0.395049426,0.01,24.5626087,-3.663985507,640.5765217,5.517913043,27.39,0.96,350,3.4
Belgium,357,50.5,6,0.414266973,NaN,15.74521739,10.01166667,1069.161739,10.0076087,14.91,0.38,528,NaN
UK,358,50.6,-4.6,0.52264569,NaN,10.34608696,10.13695652,1472.361739,10.13797101,62.14,0.88,269,NaN
France,359,48.1,6.5,0.634023001,NaN,16.90434783,9.813695652,866.5669565,9.562971014,8.91,0.3,545,NaN
Argentina,360,-54.9,-67.2,0.502931869,0.01,7.96173913,4.048405797,546.8843478,4.047898551,10.69,0.53,69,NaN
Poland,361,53.8,16.6,0.764353555,NaN,19.61913043,7.752028986,639.1295652,9.564347826,27.11,0.85,130,NaN
France,362,48.1,7.1,0.598661006,NaN,17.22,9.790507246,920.6530435,8.706231884,19.52,0.58,1254,NaN
France,363,42.8,1.4,0.590268758,NaN,16.84173913,8.053695652,931.9826087,7.990652174,26.99,0.6,1799,NaN
Sweden,364,63.7,20.1,0.688177749,NaN,22.74086957,3.107681159,494.6669565,8.856397516,17.4,0.81,46,NaN
Switzerland,365,46.2,8,0.604816968,NaN,14.89391304,0.161376812,2064.135652,5.105217391,52.71,0.57,2055,NaN
Iceland,366,64,16.4,0.467118355,0.88,25.25043478,0.831811594,569.9217391,8.564927536,31.78,1.12,29,NaN
Switzerland,367,46.1,7,0.7446454,NaN,17.28869565,6.935942029,1267.527826,9.522898551,30.86,0.58,1070,NaN
France,368,42.9,2,0.620438719,NaN,16.47043478,7.701666667,948.4504348,7.639275362,23.34,0.53,880,NaN
Poland,369,53.1,18.2,0.687963572,NaN,20.33043478,8.211956522,541.073913,10.12373913,32.37,1.13,88,NaN
Norway,370,69,15.3,0.503117766,NaN,15.78521739,2.524710145,1382.54,6.487080745,39.61,0.83,269,NaN
Iceland,371,63.4,-18.8,0.465908757,0.67,11.51826087,4.295072464,993.2982609,5.863478261,25.14,0.61,57,NaN
Poland,372,53.4,17.6,0.68456492,NaN,20.00434783,8.131376812,559.7678261,10.0186087,30.05,1.02,95,NaN
Poland,373,52.5,16.2,0.650357299,NaN,19.94782609,8.742318841,540.9643478,10.63052174,26.53,0.94,66,NaN
Kenya,376,-0.4,35.8,0.547466486,0.04,2.596521739,14.81942029,1120.36087,14.82086957,68.17,1.39,2901,NaN
Kenya,377,-1,34,0.790538231,0.17,1.959130435,22.56550725,1279.008696,22.56652174,89.87,1.44,1192,NaN
Tanzania,378,-9.3,34.6,0.644,0.01,5.694782609,17.99557971,1033.344348,17.99623188,132.6,2.52,1798,NaN
Kenya,379,-0.2,36.4,0.687337613,0.1,2.49826087,15.51746377,975.7565217,15.51876812,60.71,1.45,2338,NaN
Japan,381,36,139.7,0.520739278,NaN,23.48608696,13.25681159,1476.123478,13.25681159,105.73,1.74,NaN,NaN
Germany,382,52.8,10.6,0.514117779,NaN,17.02782609,8.860507246,616.226087,8.859275362,17.26,0.62,800,4.25
Canada,383,45.9,-75,0.643544588,NaN,31.42608696,4.233913043,1037.084348,12.45440994,11.45,0.36,200,NaN
Canada,384,47.6,-71,0.407917918,NaN,31.3,1.162028986,1287.48087,9.412919255,27.35,0.54,820,NaN
Canada,385,56.4,-116.9,0.384456642,0.14,33.55913043,0.25942029,413.0843478,9.392546584,33.51,1.46,610,NaN
Canada,386,53.8,-77.6,0.391900658,NaN,35.90956522,-3.235797101,665.2947826,8.147391304,48.98,1.5,160,NaN
Canada,387,46.1,-72.3,0.725640875,NaN,31.14347826,3.645072464,1175.342609,11.84857143,14.62,0.41,85,NaN
Canada,388,53.5,-114.9,0.519348816,NaN,28.39217391,2.48173913,544.9078261,10.18993789,57,1.92,810,NaN
